price,district,room_type,bathroom_type,accommodates,bathrooms,bedrooms,beds,reviews,review_scores,host_response_rate,host_acceptance_rate,host_total_listings
1185,Central & Western,Entire home/apt,Private bathroom,3,1,1,2,134,97,1,0.5,2
700,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,51,94,0,0,1
1199,Central & Western,Entire home/apt,Private bathroom,4,2,3,2,4,95,0,0.4,1
240,Central & Western,Private room,Shared bathroom,1,1,1,1,1,55,0.96,0.77,266
205,Central & Western,Private room,Shared bathroom,1,1,1,1,0,100,1,0.8,369
1290,Central & Western,Entire home/apt,Private bathroom,2,1.5,1,1,15,99,1,0.6,1
780,Central & Western,Entire home/apt,Private bathroom,3,1,1,1,18,88,0.5,0.69,1
850,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,5,100,0,0.5,1
890,Central & Western,Private room,Private bathroom,2,1,1,2,0,95,1,0.95,1
220,Central & Western,Private room,Private bathroom,1,1,1,1,0,55,0.96,0.77,266
338,Central & Western,Private room,Private bathroom,2,1,1,1,5,80,1,0.67,2
598,Central & Western,Shared room,Shared bathroom,1,1,1,1,5,92,0.96,1,1
450,Central & Western,Private room,Private bathroom,1,1,1,1,4,100,0.96,0.77,4
10768,Central & Western,Entire home/apt,Private bathroom,6,2,3,3,17,96,0.8,1,1
1008,Central & Western,Entire home/apt,Private bathroom,4,1,2,3,19,89,0.9,0.93,2
561,Central & Western,Entire home/apt,Private bathroom,4,1,2,2,108,96,1,1,3
819,Central & Western,Entire home/apt,Private bathroom,3,1,1,1,12,98,1,1,1
660,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,86,0.98,0.73,101
700,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,1,80,0,0,2
750,Central & Western,Entire home/apt,Private bathroom,3,1,2,3,41,95,1,0.71,2
350,Central & Western,Private room,Shared bathroom,1,1,1,1,26,93,1,1,2
620,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,12,90,1,0.47,3
1080,Central & Western,Private room,Private bathroom,2,1,1,1,2,100,1,1,1
600,Central & Western,Entire home/apt,Private bathroom,8,2,3,3,28,85,0.93,1,5
700,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,2,100,1,0.77,1
150,Central & Western,Shared room,Shared bathroom,1,1,1,1,3,93,0.33,0.25,1
1000,Central & Western,Entire home/apt,Private bathroom,2,1.5,1,1,10,98,0.5,0,1
224,Central & Western,Private room,Shared bathroom,1,1,1,1,0,100,1,0.8,369
267,Central & Western,Private room,Shared bathroom,2,1,1,1,1,100,1,0.8,369
