price,accommodates,bathrooms,bedrooms,beds,reviews,review_scores,host_response_rate,host_acceptance_rate,host_total_listings
1185,3,1,1,2,134,97,1,0.5,2
700,2,1,,1,51,94,0,0,1
1199,4,2,3,2,4,95,,,1
240,1,1,1,1,1,,0.96,0.77,266
205,1,1,1,1,0,,1,0.8,369
1290,2,1.5,1,1,15,99,1,0.6,1
780,3,1,1,1,18,88,0.5,,1
850,2,1,1,1,5,100,0,0.5,1
890,2,1,,2,0,,,,1
220,1,1,1,1,0,,0.96,0.77,266
338,2,1,1,1,5,80,1,,2
598,1,1,1,1,5,92,,,1
450,1,1,1,1,4,100,,,4
10768,6,2,3,3,17,96,,1,1
1008,4,1,2,3,19,89,0.9,0.93,2
561,4,1,2,2,108,96,1,1,3
819,3,1,1,1,12,98,1,1,1
660,2,1,,1,0,,0.98,0.73,101
700,2,1,1,1,1,80,0,0,2
750,3,1,2,3,41,95,1,0.71,2
350,1,1,1,1,26,93,1,1,2
620,2,1,,1,12,90,1,0.47,3
1080,2,1,1,1,2,100,1,,1
600,8,,3,3,28,85,0.93,1,5
700,2,1,1,1,2,100,1,,1
150,1,1,1,1,3,93,0.33,0.25,1
1000,2,1.5,1,1,10,98,0.5,0,1
224,1,1,1,1,0,,1,0.8,369
267,2,1,,1,1,100,1,0.8,369
3800,4,2,,1,0,,,,1
184,1,1,1,1,0,,1,0.8,369
893,2,1,1,1,3,100,1,0.2,1
162,1,1,1,1,0,,1,0.8,369
10643,2,1,,1,22,93,,,1
900,8,1,4,4,0,,1,0.8,369
640,5,1,2,3,34,94,0.98,1,12
600,2,1,,1,0,,0.98,0.73,101
920,4,1,2,2,0,,,,1
816,2,1,,0,0,,1,0.33,239
270,1,1,1,1,0,,1,0.8,369
274,1,1,1,1,0,,1,0.8,369
402,1,1,2,1,29,96,0,,2
500,2,1,1,2,9,96,1,0,1
567,2,1,,1,0,,0.98,0.73,101
561,2,1,,1,0,,0.98,0.73,101
561,2,1,,1,0,,0.98,0.73,101
250,1,1,1,1,0,,0.96,0.77,266
1550,3,1,1,2,0,,,,1
413,2,1,,1,0,,,,1
600,2,1,,1,8,98,0.33,0,1
350,2,1,1,1,18,96,1,0,0
645,3,1,2,0,5,100,1,0,0
330,2,1,,1,27,93,1,0.98,5
369,2,1,,2,18,92,1,0.98,5
500,2,1,1,1,69,92,0,0.98,7
500,2,1,1,1,96,95,0,0.98,7
406,2,1,1,1,81,93,0,0.98,7
641,4,1,1,1,85,91,0,0.98,7
479,2,1,1,2,33,98,,1,1
921,2,1,,1,102,99,1,0.89,1
3000,3,1,2,2,2,100,,,0
1320,2,1,1,1,0,,1,0.33,239
369,2,1,,1,11,80,1,0.98,5
4000,16,3,3,6,34,95,1,0.97,11
1650,4,2,2,2,0,,1,0.33,239
1900,2,1,,1,0,,1,0.33,239
620,2,1,,1,36,88,0.91,0.99,5
1700,4,1,2,2,0,,1,0.33,239
1200,2,1,1,1,0,,1,0.33,239
3143,4,1.5,1,2,3,100,1,1,13
320,2,1.5,,1,195,94,1,0.99,7
1314,8,1.5,2,4,211,96,0,0.9,8
429,1,1,1,1,4,100,0,,1
255,1,1,1,1,0,,0.95,0.77,230
558,2,1,,1,0,,0.98,0.73,101
180,1,1,1,1,0,,0.96,0.77,266
369,2,1,,2,6,97,1,0.98,5
900,2,1,,1,0,,1,0.33,239
535,3,,1,2,25,96,0.83,0.9,15
1310,3,1.5,,3,6,97,0.83,0.9,15
1246,3,,1,1,9,96,0.83,0.9,15
1100,2,1,1,1,0,,1,1,13
767,5,,1,3,12,92,0.83,0.9,15
350,2,1,1,1,1,40,,,1
1267,5,1,,2,14,100,0.83,0.9,15
612,3,1,1,2,16,85,0.83,0.9,15
550,2,1,,1,0,,1,0.33,239
780,2,1,1,1,8,97,0,,1
369,2,1,,2,12,92,1,0.98,5
399,1,1,1,1,9,98,,,5
664,2,1,1,1,4,75,,,2
743,2,1,1,1,5,96,,,2
1089,2,1,1,0,31,93,1,1,13
400,4,1,1,3,4,,0,,1
800,4,1,2,2,5,95,,,2
531,2,1,,1,0,,0.98,0.73,101
512,2,1,,1,1,100,0.98,0.73,101
300,1,1,1,1,2,100,0,0,1
290,1,,1,1,25,97,0.9,0.59,4
1314,8,1,,1,193,95,0,0.9,8
406,2,1,,1,42,86,0.91,0.99,5
270,2,1,1,1,0,,1,0.8,369
520,8,1,4,4,0,,1,0.8,369
222,2,1,,1,0,,1,0.8,369
250,2,1,1,1,0,,0.95,0.77,230
820,2,1,,1,0,,1,0.33,239
823,3,1,1,2,10,94,1,1,1
2671,4,1,2,2,6,92,0,,1
400,1,1,1,1,0,,,0,2
650,1,1,1,,1,100,,,1
284,2,1,,1,0,,1,0.8,369
1500,2,2,2,2,4,100,1,1,2
634,2,1,,1,0,,1,0.35,225
324,2,1,1,1,0,,1,0.8,369
495,4,1,2,3,2,100,1,,1
5440,2,1,1,1,6,87,,,1
223,1,1,1,1,0,,1,0.8,369
152,1,1.5,1,1,13,92,1,1,10
600,3,1.5,,1,42,94,1,0.96,7
1700,4,1,1,2,25,94,1,0.97,11
1100,8,3,2,4,9,83,1,1,7
880,3,1,1,2,17,82,1,1,7
880,3,1,,2,25,92,1,1,7
1100,6,2,2,3,41,93,1,1,7
274,2,1,1,1,0,,1,0.8,369
2000,4,1,2,2,0,,0,,0
850,2,1,1,1,5,100,1,1,1
3000,3,0,,1,0,,,,1
388,4,1,,2,66,91,0.98,1,12
267,1,1,,1,0,,1,0.8,369
600,2,1,,1,1,80,1,0.33,239
550,2,1,1,1,1,100,1,0.9,4
290,2,1,1,0,0,,1,0.8,369
250,1,1,1,1,0,,1,0.8,369
216,1,1,1,1,0,,1,0.8,369
1291,3,1,2,2,23,98,0.9,1,1
267,2,1,1,1,0,,1,0.8,369
425,2,1,,1,0,,0.98,0.73,101
140,2,1,1,1,0,,1,0.8,369
520,8,1,4,4,0,,1,0.8,369
1185,3,1,1,2,2,100,1,,2
400,2,1,1,1,9,90,0.6,0.91,1
1500,2,1,1,1,1,,0,0,2
989,2,1,1,1,21,90,0.9,0.75,1
267,2,1,1,1,0,,1,0.8,369
1400,4,1,2,2,0,,1,0.33,239
1356,3,1,1,1,8,88,1,,2
450,2,1,,1,1,80,,1,1
175,1,1,1,1,0,,0.95,0.77,230
1200,4,1,2,2,0,,1,0.35,225
274,2,1,1,1,0,,1,0.8,369
294,2,1,1,1,0,,1,0.8,369
436,2,1,1,1,4,93,,,1
399,2,1,1,1,8,65,0.14,1,1
190,1,1,1,1,0,,1,0.8,369
210,1,1,1,1,0,,1,0.8,369
4320,8,3,3,5,3,93,1,0,2
274,2,1,1,1,0,,1,0.8,369
690,2,1,1,1,11,89,0.6,0.6,1
900,8,1,4,4,0,,1,0.8,369
400,2,1,1,1,1,100,0.18,0.36,2
788,4,1,2,1,5,100,0.18,0.36,2
215,1,1,1,1,0,,0.96,0.77,266
290,2,1,,1,0,,1,0.8,369
197,1,1,1,1,0,,1,0.8,369
170,1,1,1,1,0,,1,0.8,369
267,2,1,,1,0,,1,0.8,369
325,1,1,,1,9,87,1,1,2
220,1,1,1,1,0,,1,0.8,369
200,2,1,1,1,0,,1,0.8,369
270,2,1,1,1,0,,1,0.8,369
217,1,1,1,1,0,,0.96,0.77,266
1800,4,2,3,2,0,,0,,1
880,4,1,1,2,6,90,,,1
177,1,1,1,1,0,,1,0.8,369
284,2,1,1,1,0,,1,0.8,369
270,2,1,1,1,0,,1,0.8,369
290,1,1.5,1,0,41,90,1,1,1
283,2,1,,1,0,,1,0.8,369
227,1,1,1,1,0,,1,0.8,369
620,2,1,,1,1,100,0.98,0.73,101
1200,8,2.5,4,5,6,92,0,0.5,1
151,1,1.5,1,1,10,94,1,1,10
300,2,1,1,1,1,100,,,1
984,7,1,5,5,0,,1,0.8,369
500,2,1,1,1,2,60,,,16
538,5,1,1,3,80,91,1,1,1
5695,1,1,1,1,0,,,,1
1720,2,1,1,1,6,97,,1,1
500,1,1,1,1,0,,,,1
224,1,1,1,1,0,,1,0.8,369
280,2,1,,1,0,,1,0.8,369
495,2,1,1,2,14,89,1,,2
200,2,2,1,1,0,,1,0.8,369
280,1,1,1,1,0,,1,0.8,369
570,2,1,,1,0,,0.98,0.73,101
217,1,1,1,1,0,,1,0.8,369
400,2,1,1,1,1,80,,,16
477,2,1,,1,0,,0.98,0.73,101
238,2,1,1,1,0,,1,0.8,369
423,2,1,1,1,7,74,,,1
230,1,1,,1,0,,1,0.8,369
139,1,1,1,1,0,,0.95,0.77,230
1250,2,1,1,2,20,96,,1,2
380,2,1,1,1,2,60,,,16
570,2,1,,1,2,100,0.98,0.73,101
230,1,1,1,0,1,80,1,1,19
2500,2,1,1,1,0,,1,0.33,239
257,1,1,1,1,0,,1,0.8,369
759,3,1,,1,17,92,1,0.98,16
759,3,1,1,1,39,94,1,0.98,16
759,3,1,1,1,23,91,1,0.98,16
982,3,1.5,1,1,18,98,1,0,2
759,3,1,,1,19,93,1,0.98,16
750,2,1,2,1,9,90,0.33,0,1
2000,4,1,2,2,6,87,,,1
400,2,1,1,1,22,99,0.94,0.82,9
759,3,1,,1,29,91,1,0.98,16
759,3,1,,1,59,93,1,0.98,16
759,3,1,,1,58,93,1,0.98,16
581,2,1,1,1,46,93,1,0.8,2
1000,1,1,,1,0,,,,1
238,1,1,1,1,0,,0.96,0.77,266
220,1,1,1,0,0,,0.96,0.77,266
209,2,1,1,1,0,,0.95,0.77,230
850,2,1,2,1,35,95,0.83,0.5,1
600,4,1,1,1,30,92,0.94,0.82,9
1000,4,1,2,2,3,87,1,0.8,1
800,2,1,1,1,0,,,0,1
853,2,1,1,1,0,,,,1
800,4,1,1,2,2,100,0.98,0.73,101
389,1,1,1,1,17,99,1,1,6
2898,4,1,2,2,26,85,1,,1
570,1,1,,1,1,100,0.98,0.73,101
570,2,1,,1,0,,0.98,0.73,101
759,3,1,,1,35,93,1,0.98,16
759,3,1,,1,19,94,1,0.98,16
231,1,1,1,1,0,,0.96,0.77,266
238,2,1,1,1,0,,0.95,0.77,230
500,1,1,1,1,15,87,1,0,2
1200,5,1,2,2,8,97,0,0.33,1
800,4,1,1,2,2,100,0.98,0.73,101
810,4,1,1,2,0,,0.98,0.73,101
1683,4,2,2,2,9,93,1,0.5,1
890,2,1,1,1,35,99,0.67,0.35,2
588,2,1,1,2,0,,0.95,0.77,230
245,1,1,1,1,0,,0.95,0.77,230
269,2,1,1,1,1,100,0.95,0.77,230
470,2,1,,1,4,80,0.98,0.73,101
520,2,1,,1,1,100,0.98,0.73,101
520,2,1,,1,1,100,0.98,0.73,101
590,2,1,,1,4,95,0.98,0.73,101
660,2,1,,1,1,100,0.98,0.73,101
590,2,1,,1,0,,0.98,0.73,101
414,2,1,1,1,17,98,,,1
1000,2,1,1,0,1,20,1,,1
227,2,1,1,1,0,,0.95,0.77,230
380,2,1,1,1,0,,,,1
950,4,1,1,3,85,94,0.8,1,6
247,1,1,1,1,0,,0.96,0.77,266
2143,2,1,1,1,0,,,,2
253,1,1,1,1,0,,0.96,0.77,266
240,1,1,1,1,0,,0.96,0.77,266
230,1,1,1,1,0,,0.96,0.77,266
1195,3,1,2,2,28,96,,1,1
1329,2,1,1,1,5,95,,0,2
214,1,1,1,1,0,,0.96,0.77,266
247,1,1,1,1,0,,0.96,0.77,266
800,1,1,1,1,1,100,1,,1
500,1,1,1,1,0,,,,1
1240,3,1,,1,66,95,1,0.98,16
1926,3,1,2,2,6,92,0.5,0,2
1050,4,1,,2,284,98,0.92,0.98,5
