price,district,room_type,bathroom_type,accommodates,bathrooms,bedrooms,beds,reviews,review_scores,host_response_rate,host_acceptance_rate,host_total_listings
"$1,185.00",Central & Western,Entire home/apt,1 bath,3,1 bath,1,2,134,97,100%,50%,2
$700.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,51,94,0%,0%,1
"$1,199.00",Central & Western,Entire home/apt,2 baths,4,2 baths,3,2,4,95,,,1
$240.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,1,,96%,77%,266
$205.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
"$1,290.00",Central & Western,Entire home/apt,1.5 baths,2,1.5 baths,1,1,15,99,100%,60%,1
$780.00,Central & Western,Entire home/apt,1 bath,3,1 bath,1,1,18,88,50%,,1
$850.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,5,100,0%,50%,1
$890.00,Central & Western,Private room,1 private bath,2,1 private bath,,2,0,,,,1
$220.00,Central & Western,Private room,1 private bath,1,1 private bath,1,1,0,,96%,77%,266
$338.00,Central & Western,Private room,1 private bath,2,1 private bath,1,1,5,80,100%,,2
$598.00,Central & Western,Shared room,1 shared bath,1,1 shared bath,1,1,5,92,,,1
$450.00,Central & Western,Private room,1 private bath,1,1 private bath,1,1,4,100,,,4
"$10,768.00",Central & Western,Entire home/apt,2 baths,6,2 baths,3,3,17,96,,100%,1
"$1,008.00",Central & Western,Entire home/apt,1 bath,4,1 bath,2,3,19,89,90%,93%,2
$561.00,Central & Western,Entire home/apt,1 bath,4,1 bath,2,2,108,96,100%,100%,3
$819.00,Central & Western,Entire home/apt,1 bath,3,1 bath,1,1,12,98,100%,100%,1
$660.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,98%,73%,101
$700.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,1,80,0%,0%,2
$750.00,Central & Western,Entire home/apt,1 bath,3,1 bath,2,3,41,95,100%,71%,2
$350.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,26,93,100%,100%,2
